Ref,Status,Location,Description,Created,Target,Type,To Package,Status Changed,Association,OverDue,Images,Comments,Documents,Priority,Cause,project,Report Status,Task Group
T141663.22,Open,JPC Project Management>EHS Management>01 Inspections,entry room to mass climber cluttered with materials and little. this area is to remain clean and clear to prevent trips,14/09/2020,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,14/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - Storage,1328,Open,Safety
T141663.21,Open,JPC Project Management>EHS Management>01 Inspections,toe board missing,14/09/2020,,Safety Notice (Amber) - General Issue,Scaffolding,14/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - Access,1328,Open,Safety
T141663.20,Open,JPC Project Management>EHS Management>01 Inspections,number of operative not wearing full PPE (glass). corrective action took place. a number of people questioned the requirement with concerns for impared vision (glasses fogging) a number of operatived were not aware alternaive antimist glasses or spray was available. this should be highlighted at toolbox talks and focus on manager to supply. following a rewalk to ensure PPE comment were taken on board compliance remained high,14/09/2020,,Safety Notice (Amber) - General Issue,Main Contractor,14/09/2020,FormAnswer,FALSE,FALSE,FALSE,FALSE,System Failure,JPC - Safety - PPE,1328,Open,Safety
T141663.19,Open,JPC Project Management>EHS Management>01 Inspections,"sanitiser point could be erected in block 01, as could safter station",14/09/2020,,Safety Notice (Amber) - General Issue,Main Contractor,14/09/2020,,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Documentation,1328,Open,Safety
T141663.18,Open,JPC Project Management>EHS Management>01 Inspections,no safety station upper floors block 03/04. these should be installed as fitting out trades are commencing works here. fire point required JPC attention,14/09/2020,,Safety Notice (Amber) - General Issue,Main Contractor,14/09/2020,,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Welfare Facilities,1328,Open,Safety
T141663.17,Open,JPC Project Management>EHS Management>01 Inspections,ladder tag dated for a month. this should be a weekly inspection,14/09/2020,,Safety Notice (Amber) - General Issue,Mechanical,14/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - Ladders,1328,Open,Safety
T141663.16,Open,JPC Project Management>EHS Management>01 Inspections,no ladder tag,14/09/2020,,Safety Notice (Amber) - General Issue,Temporary Electrics,14/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - WAH Equipment,1328,Open,Safety
T141663.15,Open,JPC Project Management>EHS Management>01 Inspections,no ladder tag,14/09/2020,,Safety Notice (Amber) - General Issue,Precast Concrete,14/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - Ladders,1328,Open,Safety
T141663.14,Open,JPC Project Management>EHS Management>01 Inspections,review of level 08 gaurd rail required around parapets. detail differs here from locations where concrete parapet is not acting as toe board. the first rail is the mid rail. seems like a lower rail is required to prevent accidents,14/09/2020,,Safety Notice (Amber) - General Issue,Scaffolding,14/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Scaffolding,1328,Open,Safety
T141663.13,Open,JPC Project Management>EHS Management>01 Inspections,drinking bottles from contractors not being disposed of,14/09/2020,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,14/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - House Keeping,1328,Open,Safety
T116412.196,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation)>4th to 5th Floor,Flatpack duct not sealed laterally.,14/09/2020,44094,JPC - Quality Defect (compliance),Ceilings & Partitions,14/09/2020,FormAnswer,FALSE,TRUE,TRUE,FALSE,,JPC - Quality - Workmanship,1328,Open,Quality
T116412.195,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>1. Bracken Lane (South Elevation)>4th to 5th Floor,Flatpack duct not sealed laterally.,14/09/2020,44094,JPC - Quality Defect (compliance),Ceilings & Partitions,14/09/2020,FormAnswer,FALSE,TRUE,TRUE,FALSE,,JPC - Quality - Workmanship,1328,Open,Quality
T131475.100,Open / Ongoing Works,JPC Project Management>EHS Management,"Temporary lighting required block 4, levels 5, 6, 7",11/09/2020,44091,JPC - Works To Go,Temporary Electrics,11/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,,1328,Open,Site Management
T107663.55,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Good clear walkways Block 1 L5,11/09/2020,,Safety Notice (Green) - Good Observation,Main Contractor,11/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Access,1328,Closed,Safety
T107663.54,Open,JPC Project Management>EHS Management>01 Inspections,Sweeping of rubbish into corners on areas where there are loading bays,11/09/2020,,Safety Notice (Amber) - General Issue,Precast Concrete,11/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - House Keeping,1328,Open,Safety
T131475.99,Open,JPC Project Management>EHS Management,Cables to be pinned up appropriately,11/09/2020,,Safety Notice (Amber) - General Issue,Temporary Electrics,11/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Temporary Electrics,1328,Open,Safety
T107663.53,Closed,JPC Project Management>EHS Management>01 Inspections,Poor housekeeping. Needs to skipped,11/09/2020,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,15/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T131475.98,Open,JPC Project Management>EHS Management,Cables to be tidied at transformers.,11/09/2020,,Safety Notice (Amber) - General Issue,Temporary Electrics,11/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Electrical,1328,Open,Safety
T107663.52,Closed,JPC Project Management>EHS Management>01 Inspections,Food waste,11/09/2020,,Safety Notice (Amber) - General Issue,Mechanical,11/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T107663.51,Closed,JPC Project Management>EHS Management>01 Inspections,Storage of materials in Hodgins area,11/09/2020,,Safety Notice (Amber) - General Issue,Curtain Walling,11/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,System Failure,JPC - Safety - Storage,1328,Closed,Safety
T131475.97,Open,JPC Project Management>EHS Management,Multiple instances of Broken lights to be replaced block 3,11/09/2020,,Safety Notice (Amber) - General Issue,Temporary Electrics,11/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Electrical,1328,Open,Safety
T107663.50,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Good housekeeping in Block 1 L3,11/09/2020,,Safety Notice (Green) - Good Observation,Concrete - Formwork,11/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - House Keeping,1328,Closed,Safety
T131475.96,Open,JPC Project Management>EHS Management,"Broken light to be replaced block 3, level 1, area 3",11/09/2020,,Safety Notice (Amber) - General Issue,Temporary Electrics,11/09/2020,,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Electrical,1328,Open,Safety
T107663.49,Closed,JPC Project Management>EHS Management>01 Inspections,Hanging wire,11/09/2020,,Safety Notice (Amber) - General Issue,Temporary Electrics,15/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - Lead Management,1328,Closed,Safety
T107663.48,Closed,JPC Project Management>EHS Management>01 Inspections,General housekeeping around mastclimbers in courtyard,11/09/2020,,Safety Notice (Amber) - General Issue,Fire Stopping,15/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T131475.95,Open / Ongoing Works,JPC Project Management>EHS Management,Temporary power required on Block 1&2 bedroom floors.,11/09/2020,44091,JPC - Works To Go,Temporary Electrics,11/09/2020,FormAnswer,FALSE,FALSE,FALSE,FALSE,,,1328,Open,Site Management
T131475.94,Open / Ongoing Works,JPC Project Management>EHS Management,Temporary lighting required on bracken lane for darker mornings and evenings,11/09/2020,44091,JPC - Works To Go,Temporary Electrics,11/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,,1328,Open,Site Management
T131475.93,Open / Ongoing Works,JPC Project Management>EHS Management,"Temporary lighting required Block 2, levels 1 and above",11/09/2020,44091,JPC - Works To Go,Temporary Electrics,11/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,,1328,Open,Site Management
T131475.92,Open / Ongoing Works,JPC Project Management>EHS Management,"Temporary lighting required block 1, levels 2 and above",11/09/2020,44091,JPC - Works To Go,Temporary Electrics,11/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,,1328,Open,Site Management
T131475.91,Open,JPC Project Management>EHS Management,Live power signage required site wide. Multiple cases have been spotted,11/09/2020,,Safety Notice (Amber) - General Issue,Temporary Electrics,11/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - Electrical,1328,Open,Safety
T131475.90,Open,JPC Project Management>EHS Management,"TC1 Board not locked, and insufficient signage. Needs proper cover from the elements. Transformer needs to be covered. Main isolator switch left lying out in the elements. The isolator switch was brought up in the last inspection and not auctioned.",11/09/2020,,Safety Notice (Amber) - General Issue,Temporary Electrics,11/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - Electrical,1328,Open,Safety
T131475.89,Open,JPC Project Management>EHS Management,more live power signage required on temporary electrics cables,11/09/2020,,Safety Notice (Amber) - General Issue,Temporary Electrics,11/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,Behavioural Failure,JPC - Safety - Electrical,1328,Open,Safety
T116412.194,Open,JPC Project Management,protection required,10/09/2020,,Safety Notice (Amber) - General Issue,Mechanical,10/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Quality - Workmanship,1328,Open,Safety
T116412.193,Open,JPC Project Management,remove rubbish and tidy materials T the end of the day,10/09/2020,,Safety Notice (Amber) - General Issue,Mechanical,10/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - House Keeping,1328,Open,Safety
T116412.192,Open,JPC Project Management,remove props,10/09/2020,,Safety Notice (Amber) - General Issue,Precast Concrete,10/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - House Keeping,1328,Open,Safety
T116412.191,Complete,JPC Project Management,block 4 level 2,10/09/2020,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,11/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - House Keeping,1328,Open,Safety
T116412.190,Open,JPC Project Management,consolidate material to one location,10/09/2020,,Safety Notice (Amber) - General Issue,Fire Stopping,10/09/2020,FormAnswer,FALSE,TRUE,TRUE,FALSE,,JPC - Safety - House Keeping,1328,Open,Safety
T116412.189,Complete,JPC Project Management,loading bay not a storage area,10/09/2020,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,11/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - House Keeping,1328,Open,Safety
T116412.188,Works Complete / Resolved,JPC Project Management,good cutting station set up,10/09/2020,44090,JPC - Quality Defect (compliance),Ceilings & Partitions,11/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - House Keeping,1328,Open,Quality
T116412.187,Open,JPC Project Management,remove all props from floors where not needed,10/09/2020,,Safety Notice (Amber) - General Issue,Precast Concrete,10/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - House Keeping,1328,Open,Safety
T116412.186,Open / Ongoing Works,JPC Project Management,cables need to be tagged throughout all buildings,10/09/2020,44090,JPC - Quality Defect (compliance),Temporary Electrics,10/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Temporary Electrics,1328,Open,Quality
T116412.185,Open / Ongoing Works,JPC Project Management,all rubbish to skip at end of the day,10/09/2020,44090,JPC - Quality Defect (compliance),Temporary Electrics,10/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Working At Height,1328,Open,Quality
T116412.184,EHS Good Observation,JPC Project Management,tidy cables at high level,10/09/2020,,Safety Notice (Green) - Good Observation,Temporary Electrics,10/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Quality - Workmanship,1328,Closed,Safety
T118982.21,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 4>2nd Floor Plan,Design not finalised ,10/09/2020,44090,Design Team - BCAR Architectural,,10/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,High,,1328,Open,Design Team
T119055.117,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>4th Floor Plan>Area 3,water ingress no hand over,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Program - 6 Information,1328,Open,Site Management
T119055.116,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>4th Floor Plan>Area 2,handover required,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Program - 6 Information,1328,Open,Site Management
T119055.115,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>4th Floor Plan>Area 1,handover required,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Program - 6 Information,1328,Open,Site Management
T119055.114,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>4th Floor Plan>Area 1,material hoist in the way+ curtain wall,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Program - 6 Information,1328,Open,Site Management
T119055.113,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>4th Floor Plan>Area 1,material hoist in the way+ curtain wall,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Program - 6 Information,1328,Open,Site Management
T119055.112,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 3,room 365 handover required,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Program - 6 Information,1328,Open,Site Management
T119055.111,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 3,handover required for ceilings,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Program - 6 Information,1328,Open,Site Management
T119055.110,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 2,handover required for ceilings,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Program - 6 Information,1328,Open,Site Management
T119055.109,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 1,material hoist in the way+ curtain wall,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Safety - Access,1328,Open,Site Management
T119055.108,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 2,handover required for ceilings,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Program - 6 Information,1328,Open,Site Management
T119055.107,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 2,water ingress no hand over,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Safety - Access,1328,Open,Site Management
T119055.106,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 1,multiple rooms handover required,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Program - 6 Information,1328,Open,Site Management
T119055.105,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 1,material hoist in the way+ curtain wall,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Safety - Access,1328,Open,Site Management
T119055.104,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 3,room 265 handover required,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Program - 6 Information,1328,Open,Site Management
T119055.103,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 3,ap265 access for b4,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Safety - Access,1328,Open,Site Management
T119055.102,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 2,water ingress no hand over,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Program - 5 Weather,1328,Open,Site Management
T119055.101,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 2,no handover for corridor,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Program - 6 Information,1328,Open,Site Management
T119055.99,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 1,hanover needed pod 2nd fix electrical,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Program - 6 Information,1328,Open,Site Management
T119055.98,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 1,material hoist in the way+ curtain wall,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Safety - Demolition,1328,Open,Site Management
T119055.97,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 3,handover for disable toilets,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Program - 6 Information,1328,Open,Site Management
T119055.96,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 3,ap165 access for b4,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Safety - Access,1328,Open,Site Management
T119055.95,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 3,no handover for corridor,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Program - 6 Information,1328,Open,Site Management
T119055.94,Open / Ongoing Works,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 2,access required in kitchen extraction raiser,09/09/2020,44089,Program Constraint Task (Last Planner),Main Contractor,09/09/2020,ForwardedFrom,FALSE,FALSE,FALSE,FALSE,,JPC - Safety - Access,1328,Open,Site Management
T141007.46,Open,JPC Project Management>EHS Management>01 Inspections,house keeping,09/09/2020,,Safety Notice (Amber) - General Issue,Concrete - Formwork,09/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - House Keeping,1328,Open,Safety
T141007.45,Open,JPC Project Management>EHS Management>01 Inspections,house keeping,09/09/2020,,Safety Notice (Amber) - General Issue,Concrete - Formwork,09/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - House Keeping,1328,Open,Safety
T141007.44,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,tether oftools,09/09/2020,,Safety Notice (Green) - Good Observation,Ceilings & Partitions,09/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Working At Height,1328,Closed,Safety
T141007.43,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,house keeping,09/09/2020,,Safety Notice (Green) - Good Observation,Scaffolding,09/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - House Keeping,1328,Closed,Safety
T141007.42,Complete,JPC Project Management>EHS Management>01 Inspections,house keeping,09/09/2020,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,10/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - House Keeping,1328,Open,Safety
T141007.41,Complete,JPC Project Management>EHS Management>01 Inspections,house keeping,09/09/2020,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,10/09/2020,FormAnswer,FALSE,TRUE,TRUE,FALSE,,JPC - Safety - House Keeping,1328,Open,Safety
T141007.40,Complete,JPC Project Management>EHS Management>01 Inspections,house keeping,09/09/2020,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,10/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - House Keeping,1328,Open,Safety
T141007.39,Complete,JPC Project Management>EHS Management>01 Inspections,house keeping,09/09/2020,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,10/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - House Keeping,1328,Open,Safety
T141007.38,Open,JPC Project Management>EHS Management>01 Inspections,house keeping,09/09/2020,,Safety Notice (Amber) - General Issue,Mechanical,09/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - House Keeping,1328,Open,Safety
T141007.37,Open,JPC Project Management>EHS Management>01 Inspections,scaffolding materials,09/09/2020,,Safety Notice (Amber) - General Issue,Scaffolding,09/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - House Keeping,1328,Open,Safety
T141007.36,Open / Ongoing Works,JPC Project Management>EHS Management>04 Staturatury Forms,TrT housekeeping,09/09/2020,44089,Design Team - BCAR Electrical,Mechanical,09/09/2020,,FALSE,FALSE,FALSE,FALSE,,,1328,Open,Design Team
T141007.35,Complete,JPC Project Management>EHS Management>04 Staturatury Forms,trailing  leads,09/09/2020,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,10/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Lead Management,1328,Open,Safety
T141007.34,Complete,JPC Project Management>EHS Management>04 Staturatury Forms,use of ladder,09/09/2020,,Safety Notice (Amber) - General Issue,Precast Concrete,10/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - WAH Equipment,1328,Open,Safety
T141007.33,Open,JPC Project Management>EHS Management>04 Staturatury Forms,TrT housekeeping,09/09/2020,,Safety Notice (Amber) - General Issue,Mechanical,09/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Storage,1328,Open,Safety
T141007.32,Complete,JPC Project Management>EHS Management>04 Staturatury Forms,material storage,09/09/2020,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,10/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - House Keeping,1328,Open,Safety
T141007.30,Complete,JPC Project Management>EHS Management>04 Staturatury Forms,fire extinguisher required,09/09/2020,,Safety Notice (Amber) - General Issue,Structural Steel,12/09/2020,FormAnswer,FALSE,TRUE,TRUE,FALSE,,JPC - Safety - Plant & Equipment,1328,Open,Safety
T141007.28,Open,JPC Project Management>EHS Management>04 Staturatury Forms,tether of tools,09/09/2020,,Safety Notice (Amber) - General Issue,Scaffolding,09/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Plant & Equipment,1328,Open,Safety
